Date,Confirmed,Recovered,Deceased,Other,Tested,First Dose Administered,Second Dose Administered,Total Doses Administered
2021-06-30,2843810,2732242,35040,23,34269727,18973266,3739413,22712679
2021-07-01,2847013,2746544,35134,23,34425805,19125071,3787022,22912093
2021-07-02,2849997,2760881,35222,23,34580906,19293718,3858937,23152655
2021-07-03,2852079,2768632,35308,23,34735561,19602490,4037786,23640276
2021-07-04,2853643,2773407,35367,23,34888644,19704272,4086710,23790982
2021-07-05,2856491,2779038,35434,23,35035219,19966595,4219905,24186500
2021-07-06,2859595,2784030,35526,23,35152131,20170366,4307475,24477841
2021-07-07,2862338,2787111,35601,23,35318762,20355148,4384445,24739593
2021-07-08,2864868,2790453,35663,23,35476314,20494925,4447263,24942188
2021-07-09,2867158,2793498,35731,23,35630054,20709400,4567725,25277125
2021-07-10,2869320,2796377,35779,23,35775720,20854334,4664767,25519101
2021-07-11,2871298,2798703,35835,23,35934618,20921191,4703519,25624710
2021-07-12,2872684,2801907,35896,23,36044017,21087588,4795478,25883066
2021-07-13,2874597,2804396,35944,23,36168611,21365071,4846702,26211773
2021-07-14,2876587,2806933,35989,23,36293105,21531799,4953534,26485333
2021-07-15,2878564,2810121,36037,23,36431379,21610036,5004572,26614608
2021-07-16,2880370,2812869,36079,23,36584287,21741980,5109400,26851380
2021-07-17,2882239,2816013,36121,23,36727143,21951515,5260196,27211711
2021-07-18,2883947,2818476,36157,23,36883707,22018866,5305571,27324437
2021-07-19,2885238,2821491,36197,23,37019681,22188552,5408325,27596877
2021-07-20,2886702,2824197,36226,23,37133137,22305056,5475128,27780184
2021-07-21,2888341,2826411,36262,23,37285851,22399673,5557994,27957667
2021-07-22,2889994,2828983,36293,23,37426194,22570999,5677694,28248693
2021-07-23,2891699,2831226,36323,23,37551620,22756318,5803394,28559712
2021-07-24,2893556,2833276,36352,23,37705035,22886272,5902621,28788893
2021-07-25,2894557,2834741,36374,23,37852023,22942288,5944413,28886701
2021-07-26,2896163,2836678,36405,23,37966095,23074120,6051663,29125783
2021-07-27,2897664,2838717,36437,23,38068589,23245158,6173347,29418505
2021-07-28,2899195,2840147,36456,23,38216908,23352332,6244511,29596843
2021-07-29,2901247,2841479,36491,24,38365769,23430814,6295325,29726139
2021-07-30,2903137,2843110,36525,24,38510966,23624164,6406425,30030589
2021-07-31,2905124,2844742,36562,24,38649498,23996153,6535671,30531824
2021-08-01,2906999,2846244,36587,24,38804546,24088034,6577674,30665708
2021-08-02,2908284,2847627,36612,24,38937576,24598271,6817379,31415650
2021-08-03,2909958,2849003,36650,25,39058597,24794539,6901931,31696470
2021-08-04,2911727,2850717,36680,25,39228008,24961662,6996807,31958469
2021-08-05,2913512,2852368,36705,25,39389670,25063401,7065860,32129261
2021-08-06,2915317,2854222,36741,26,39552008,25190326,7159957,32350283
2021-08-07,2916927,2855862,36773,26,39699877,25473050,7297493,32770543
2021-08-08,2918525,2857776,36793,26,39846323,25591995,7335688,32927683
2021-08-09,2919711,2859552,36817,26,39978515,25860894,7437119,33298013
2021-08-10,2921049,2861499,36848,26,40104915,26000864,7509346,33510210
2021-08-11,2922875,2863117,36881,26,40272152,26188737,7609863,33798600
2021-08-12,2924732,2865067,36911,26,40433427,26266430,7663080,33929510
2021-08-13,2926401,2866739,36933,26,40602759,26400151,7733120,34133271
2021-08-14,2928033,2868351,36958,26,40758748,26663230,7837574,34500804
2021-08-15,2929464,2869962,36979,26,40911515,26771563,7875704,34647267
2021-08-16,2930529,2871448,37007,26,41025095,27095155,8003093,35098248
2021-08-17,2931827,2873281,37039,26,41153364,27353315,8119278,35472593
2021-08-18,2933192,2874839,37061,26,41332380,27569841,8220641,35790482
2021-08-19,2934624,2876377,37088,26,41509357,27752732,8326627,36079359
2021-08-20,2936077,2877785,37105,26,41682357,27892769,8387393,36280162
2021-08-21,2937427,2879433,37123,26,41839866,28187251,8572110,36759361
2021-08-22,2938616,2880889,37145,26,41965024,28316291,8646776,36963067
2021-08-23,2939767,2882331,37155,26,42071388,28701547,8835665,37537212
2021-08-24,2941026,2884032,37184,26,42262303,28941955,8978770,37920725
2021-08-25,2942250,2885700,37206,26,42458269,29293552,9156983,38450535
2021-08-26,2943463,2886906,37231,26,42645456,29593337,9315953,38909290
2021-08-27,2944764,2888520,37248,26,42832356,30368142,9660804,40028946
2021-08-28,2945993,2889809,37261,26,43015998,0,0,0
2021-08-29,2947255,2891193,37278,26,43194662,31045670,10001488,41047158
2021-08-30,2948228,2892517,37293,26,43345881,31582267,10191366,41773633
2021-08-31,2949445,2893715,37318,26,43474538,32054742,10361122,42415864
2021-09-01,2950604,2894827,37339,26,43649857,32967487,10680452,43647939
2021-09-02,2951844,2896079,37361,26,43815243,33231681,10811850,44043531
2021-09-03,2953064,2897254,37380,26,43994470,33442347,10967475,44409822
2021-09-04,2954047,2898874,37401,26,44153718,33637174,11157883,44795057
2021-09-05,2955164,2900228,37409,26,44310620,33749856,11250704,45000560
2021-09-06,2956137,2901299,37426,26,44449710,34167026,11491703,45658729
2021-09-07,2956988,2902089,37441,26,44568501,34436659,11662618,46099277
2021-09-08,2958090,2903547,37458,27,44738122,34904099,11951707,46855806
2021-09-09,2959164,2904683,37462,27,44907570,35031340,12059283,47090623
2021-09-10,2960131,2905604,37472,27,45075249,35061622,12092242,47153864
2021-09-11,2960932,2906746,37487,27,45194752,35196111,12249521,47445632
2021-09-12,2961735,2907548,37504,27,45294928,35233188,12295658,47528846
2021-09-13,2962408,2908622,37517,28,45413942,35402071,12495692,47897763
2021-09-14,2962967,2909656,37529,28,45519587,35544380,12672118,48216498
2021-09-15,2964083,2910626,37537,28,45689893,35624096,12780026,48404122
2021-09-16,2965191,2911434,37555,28,45855899,35655006,12832683,48487689
2021-09-17,2966194,2912633,37573,28,46004395,37244338,14331994,51576332
2021-09-18,2967083,2913713,37587,28,46143315,37378105,14534679,51912784
2021-09-19,2967866,2914852,37603,28,46273189,37414550,14588418,52002968
